team,games,off_total,off_pass,off_rush,def_total,def_pass,def_rush,off_total_pg,off_pass_pg,off_rush_pg,def_total_pg,def_pass_pg,def_rush_pg,off_rank,po_rank,ro_rank,def_rank,pd_rank,rd_rank,giveaways_pg,takeaways_pg,ed_plays,ed_pass_rate,season
ARI,2,544,358,186,649,406,243,272.0,179.0,93.0,324.5,203.0,121.5,26,28,24,14,14,22,0.5,1.5,95,0.5579,2026
ATL,2,524,247,277,604,478,126,262.0,123.5,138.5,302.0,239.0,63.0,29,32,7,12,23,1,3.5,0.5,101,0.4752,2026
BAL,2,818,508,310,549,382,167,409.0,254.0,155.0,274.5,191.0,83.5,4,6,4,6,12,5,1.0,1.0,100,0.53,2026
BUF,2,855,566,289,736,546,190,427.5,283.0,144.5,368.0,273.0,95.0,2,4,5,28,30,12,0.0,1.0,104,0.6058,2026
CAR,2,818,625,193,838,390,448,409.0,312.5,96.5,419.0,195.0,224.0,4,1,20,30,13,32,1.0,3.5,107,0.5888,2026
CHI,2,849,424,425,724,480,244,424.5,212.0,212.5,362.0,240.0,122.0,3,15,1,26,24,23,2.0,1.0,113,0.5133,2026
CIN,2,618,427,191,656,507,149,309.0,213.5,95.5,328.0,253.5,74.5,16,14,21,16,27,3,0.5,2.0,93,0.5376,2026
CLE,2,539,408,131,673,410,263,269.5,204.0,65.5,336.5,205.0,131.5,28,16,31,20,16,26,1.0,0.5,83,0.5904,2026
DAL,2,576,441,135,783,436,347,288.0,220.5,67.5,391.5,218.0,173.5,23,11,30,29,17,30,0.5,1.0,87,0.6552,2026
DEN,2,568,403,165,660,345,315,284.0,201.5,82.5,330.0,172.5,157.5,25,20,27,17,8,29,1.5,1.0,86,0.5581,2026
DET,2,724,493,231,915,621,294,362.0,246.5,115.5,457.5,310.5,147.0,10,7,11,31,31,28,0.5,1.5,114,0.5526,2026
GB,2,618,489,129,524,350,174,309.0,244.5,64.5,262.0,175.0,87.0,16,9,32,5,9,8,1.5,0.5,102,0.598,2026
HOU,2,755,571,184,676,505,171,377.5,285.5,92.0,338.0,252.5,85.5,9,3,25,21,26,6,1.0,0.0,116,0.6897,2026
IND,2,580,359,221,1029,675,354,290.0,179.5,110.5,514.5,337.5,177.0,21,25,15,32,32,31,1.5,0.5,93,0.5376,2026
JAX,2,628,407,221,664,473,191,314.0,203.5,110.5,332.0,236.5,95.5,15,18,15,18,22,13,0.5,1.5,93,0.5376,2026
KC,2,915,543,372,505,325,180,457.5,271.5,186.0,252.5,162.5,90.0,1,5,2,3,4,10,0.5,1.5,113,0.5575,2026
LA,2,771,486,285,561,335,226,385.5,243.0,142.5,280.5,167.5,113.0,6,10,6,7,7,19,2.0,1.0,97,0.5155,2026
LAC,2,578,370,208,698,525,173,289.0,185.0,104.0,349.0,262.5,86.5,22,21,19,23,29,7,2.5,0.5,96,0.5312,2026
LV,2,595,408,187,569,368,201,297.5,204.0,93.5,284.5,184.0,100.5,19,16,23,9,11,15,1.5,2.5,96,0.4792,2026
MIA,2,543,367,176,672,447,225,271.5,183.5,88.0,336.0,223.5,112.5,27,24,26,19,18,18,1.0,1.0,85,0.5647,2026
MIN,2,485,259,226,716,516,200,242.5,129.5,113.0,358.0,258.0,100.0,32,31,12,25,28,14,0.5,2.0,82,0.3902,2026
NE,2,604,359,245,520,332,188,302.0,179.5,122.5,260.0,166.0,94.0,18,25,10,4,5,11,2.5,1.0,92,0.5217,2026
NO,2,767,611,156,681,408,273,383.5,305.5,78.0,340.5,204.0,136.5,7,2,28,22,15,27,1.5,1.0,115,0.6609,2026
NYG,2,576,359,217,725,493,232,288.0,179.5,108.5,362.5,246.5,116.0,23,25,18,27,25,20,1.0,1.5,97,0.4948,2026
NYJ,2,652,433,219,394,263,131,326.0,216.5,109.5,197.0,131.5,65.5,14,13,17,1,2,2,0.0,1.0,103,0.5146,2026
PHI,2,659,434,225,586,332,254,329.5,217.0,112.5,293.0,166.0,127.0,13,12,14,11,5,24,1.0,0.0,95,0.5053,2026
PIT,2,499,350,149,565,309,256,249.5,175.0,74.5,282.5,154.5,128.0,30,29,29,8,3,25,1.5,2.0,104,0.6442,2026
SEA,2,666,407,259,428,249,179,333.0,203.5,129.5,214.0,124.5,89.5,12,18,9,2,1,9,0.5,2.0,89,0.4157,2026
SF,2,761,492,269,574,350,224,380.5,246.0,134.5,287.0,175.0,112.0,8,8,8,10,9,17,0.5,1.0,95,0.4947,2026
TB,2,595,369,226,618,468,150,297.5,184.5,113.0,309.0,234.0,75.0,19,23,12,13,21,4,2.5,0.5,91,0.6154,2026
TEN,2,486,296,190,708,467,241,243.0,148.0,95.0,354.0,233.5,120.5,31,30,22,24,20,21,0.5,1.0,77,0.5844,2026
WAS,2,684,370,314,650,448,202,342.0,185.0,157.0,325.0,224.0,101.0,11,21,3,15,19,16,0.5,0.0,108,0.5833,2026
